filename	directory	xmin	ymin	xmax	ymax	width	height	defect	defect_ID
img_01_3402617700_00001.jpg	images/images\crescent_gap\img_01_3402617700_00001.jpg	1738	806	1948	993	2048	1000	crescent_gap	1
img_01_3402617700_01009.jpg	images/images\crescent_gap\img_01_3402617700_01009.jpg	1756	298	1967	858	2048	1000	crescent_gap	1
img_01_3436789500_00004.jpg	images/images\crease\img_01_3436789500_00004.jpg	981	182	2046	249	2048	1000	crease	0
img_01_3436814600_00259.jpg	images/images\silk_spot\img_01_3436814600_00259.jpg	746	17	1011	993	2048	1000	silk_spot	6
img_01_3436815300_00473.jpg	images/images\silk_spot\img_01_3436815300_00473.jpg	814	17	1522	978	2048	1000	silk_spot	6
img_01_3436815300_00477.jpg	images/images\silk_spot\img_01_3436815300_00477.jpg	788	13	1367	984	2048	1000	silk_spot	6
img_01_3436815300_00478.jpg	images/images\silk_spot\img_01_3436815300_00478.jpg	786	16	1375	984	2048	1000	silk_spot	6
img_01_3437011300_00918.jpg	images/images\silk_spot\img_01_3437011300_00918.jpg	1315	1	1808	963	2048	1000	silk_spot	6
img_01_424799300_01133.jpg	images/images\crescent_gap\img_01_424799300_01133.jpg	1696	484	1911	1000	2048	1000	crescent_gap	1
img_01_424799600_00001.jpg	images/images\crescent_gap\img_01_424799600_00001.jpg	1688	1	1904	340	2048	1000	crescent_gap	1
img_01_424799600_00002.jpg	images/images\crescent_gap\img_01_424799600_00002.jpg	1667	781	1888	1000	2048	1000	crescent_gap	1
img_01_424825700_00001.jpg	images/images\crescent_gap\img_01_424825700_00001.jpg	1199	774	1391	1000	2048	1000	crescent_gap	1
img_01_424826100_00001.jpg	images/images\crescent_gap\img_01_424826100_00001.jpg	1210	716	1415	998	2048	1000	crescent_gap	1
img_01_424826300_00950.jpg	images/images\crescent_gap\img_01_424826300_00950.jpg	1131	1	1432	432	2048	1000	crescent_gap	1
